year,picks1,picks2
1992,4,6/28
1992,17/120,19/104
1992,13/71,19/37/104 
1992,20,37/64/108
1992,36/121,52/78/163/222/329
1992,40,47/74
1992,47/74,56/58
1992,56,82/109/250
1993,11,14/83
1993,13,19/75
1993,18,20/116
1993,20,26/81
1993,29/112,46/54/94/213
1993,33,36/120
1993,41,58/81
1993,44,49/107
1993,64,82/104
1993,65,73/127
1993,72,81/152
1993,92,100/156
1993,99,110/138
1993,112,119/156
1994,5,7/83
1994,7,15/56/100
1994,12,13/144
1994,16,20/89
1994,23/217,28/62
1994,37,40/118
1994,52,55/125
1994,53,84/149/175/190
1994,65,89/115/121
1994,80,94/152
1994,107,121/135
1994,120,126/169
1995,1,5/36
1995,7/72,12/43/63
1995,22/188,32/63/173
1995,28,41/63
1995,29,34/98/100
1995,33,40/71
1995,41,46/110
1995,70,82/115
1995,84,90/160
1995,111,121/196
1996,9,17/48/109
1996,13,18/83/201
1996,17,21/91
1996,30,37/67
1996,49,60/99
1996,55,65/100/213
1996,57,76/124/149
1996,60/99,79/98/134/150
1996,76,86/119/195
1996,97,112/137
1996,99,110/146
1996,111,122/159/235
1996,135,161/162
1997,1,6/67/102/207
1997,3/63,11/41/70/100
1997,6,8/104
1997,6,12/63
1997,13/110,18/91/116/181
1997,38,40/173
1997,54,65/101
1997,55,57/190/227
1997,71,84/188
1997,77,86/156
1997,107,116/165
1997,112,121/170/173
1997,123,157/166/203
1997,140,180/222
1998,19,29/60
1998,23,34/59
1998,41,56/87/149
1998,45,53/114
1998,60,79/143/172
1998,65,67/195
1998,70,85/116
1998,93,103/124/154
1998,102,112/142
1998,109,113/191
1998,137,199/203/215
1998,138,162/197
1999,17,20/82/191
1999,20,22/140
1999,24,27/134
1999,27,39/70/142
1999,37,40/144
1999,40/102,47/78/111
1999,44,59/73/163
1999,46,52/117
1999,70,72/232
1999,96,99/171
1999,165,179/218
1999,170,187/191
1999,174,184/207
1999,182,195/233
1999,207,221/253
2000,3,12/24/119/154
2000,10,15/45
2000,12,16/48
2000,51,57/120
2000,61,68/135
2000,86,119/154
2000,98,108/132
2000,104,125/150/225
2000,138,158/195
2000,150,170/209
2000,154,175/231
2000,209/225,223/232/254
2001,7/191,9/82/222
2001,14,21/51
2001,22,30/91/193
2001,37,52/81
2001,39,50/112
2001,48,50/173
2001,51,58/110
2001,52,56/122
2001,53,70/81
2001,61,78/114
2001,69,86/119
2001,96,112/139
2001,145,154/186
2001,149,180/216
2002,14,15/110
2002,18,21/89
2002,17,18/158
2002,20/156,28/60
2002,21,32/96/234
2002,52/96,56/87
2002,61,69/102
2002,63/129,72/104/140
2002,67,73/145
2002,79,89/118
2002,96,112/155
2002,117,131/144
2002,122,147/189
2003,4,13/22/116
2003,6/37/102,17/18/54
2003,13,14/193
2003,15,30/62
2003,16,27/92/200
2003,36/117,41/75
2003,45,50/120
2003,79,94/127
2003,82,108/120/227
2003,120,128/157
2003,143,176/193/218
2003,147,165/203
2003,150/200,153/189
2003,154/225,164/201/243
2003,166,185/244
2003,181,226/247
2004,6,7/37
2004,16,28/58
2004,19,20/119
2004,24,26/123
2004,27/159,40/71/103/138
2004,28,31/127
2004,29/90,38/69/125
2004,38,44/107
2004,48,50/151
2004,55,70/102
2004,59/161,68/141/173
2004,72,86/118
2004,82,88/155
2004,87,102/153
2004,104,112/147
2004,153,160/222
2004,156,182/206
2004,159,175/210
2004,174,186/219
2004,179,188/226
2004,182,205/223
2005,23,26/105
2005,37,41/113
2005,45,54/121
2005,89,115/126
2005,94,102/175
2005,112,120/154
2005,123,127/185
2005,126,167/175/245
2005,144,155/231
2005,175,195/246
2006,11,15/68
2006,12,13/181
2006,22,37/68
2006,25,32/96/129
2006,26,42/73
2006,36,52/75
2006,37/139,47/93/148
2006,39,45/116
2006,44,56/87
2006,49,53/189/211
2006,64,83/95
2006,71,76/220
2006,80,92/125
2006,93,109/183
2006,109,115/185
2006,138,150/189
2006,197,213/236
2007,14,25/59/164
2007,17,21/86/198
2007,26,36/87/159
2007,33,38/105
2007,34,43/74
2007,41,44/121
2007,47/235,63/89/191
2007,53/195,67/103/178
2007,58,66/145
2007,61,74/101
2007,86,101/166/203
2007,102,106/182
2007,107,123/163
2007,112,119/192
2007,117,139/154
2007,149,194/198/203
2007,195,200/234
2008,7/164,10/78
2008,8,26/71/89/125
2008,15/76,17/66/136
2008,18,26/89/173
2008,21/84/154,34/48/103
2008,25,28/163/235
2008,30,36/113
2008,38,55/86
2008,43/152,47/117
2008,64,66/176
2008,103,124/157
2008,100,104/213
2008,102,113/162
2008,104,122/155
2008,110,115/208
2008,115/175,120/158
2008,123,130/194
2008,128,137/217
2008,137,150/209
2008,143,155/213
2008,144,146/218
2008,153,160/238
2008,157/228,168/180
