Pick,Value
1,3000.0000
2,2815.9146
3,2631.8293
4,2447.7439
5,2263.6585
6,2079.5731
7,1895.4878
8,1821.8356
9,1748.1835
10,1674.5314
11,1600.8792
12,1527.2271
13,1453.5750
14,1379.9229
15,1306.2707
16,1247.3743
17,1206.8567
18,1166.3391
19,1125.8215
20,1085.3038
21,1044.7862
22,1017.9852
23,991.1842
24,964.3832
25,937.5822
26,910.7812
27,883.9802
28,857.1791
29,830.3781
30,803.5771
31,776.7761
32,749.9751
33,723.1741
34,696.3730
35,669.5720
36,642.7710
37,615.9700
38,598.3646
39,580.7591
40,563.1537
41,545.5483
42,527.9428
43,510.3374
44,492.7319
45,475.1265
46,457.5211
47,439.9156
48,431.6549
49,423.3941
50,415.1334
51,406.8726
52,398.6119
53,390.3511
54,382.0904
55,373.8297
56,365.5689
57,357.3082
58,349.0474
59,340.7867
60,335.3968
61,330.0070
62,324.6171
63,319.2272
64,313.8374
65,308.4475
66,303.0577
67,297.6678
68,292.2780
69,286.8881
70,281.4982
71,276.1084
72,270.7185
73,265.3287
74,259.9388
75,254.5490
76,249.1591
77,243.7692
78,238.3794
79,232.9895
80,227.5997
81,222.2098
82,216.8200
83,212.4120
84,208.0041
85,203.5961
86,199.1882
87,195.1876
88,191.1871
89,187.1865
90,183.1860
91,179.1854
92,175.1849
93,171.1844
94,167.1838
95,163.1833
96,159.1827
97,155.1822
98,151.1816
99,147.1811
100,143.1806
101,139.1800
102,135.1795
103,131.1789
104,127.1784
105,123.1778
106,119.1773
107,115.6718
108,112.1662
109,108.6607
110,105.1552
111,102.3496
112,99.5440
113,96.7384
114,93.9327
115,91.1271
116,88.3215
117,85.5159
118,82.7103
119,79.9047
120,78.2237
121,76.7499
122,75.2761
123,73.8022
124,72.3284
125,70.8546
126,69.3808
127,67.9070
128,66.4331
129,64.9593
130,63.4855
131,62.0117
132,60.5379
133,59.0640
134,57.5902
135,56.1164
136,54.6426
137,53.1688
138,51.6949
139,50.9911
140,50.2872
141,49.5833
142,48.8794
143,48.1755
144,47.4717
145,46.7678
146,46.0639
147,45.3600
148,44.6562
149,43.9523
150,43.2484
151,42.5445
152,41.8407
153,41.1368
154,40.4329
155,39.7290
156,39.0251
157,38.3213
158,37.6174
159,36.9135
160,36.2096
161,35.5058
162,34.8019
163,34.0980
164,33.3941
165,32.6903
166,31.9864
167,31.2825
168,30.9485
169,30.6145
170,30.3292
171,30.0438
172,29.7585
173,29.4731
174,29.1878
175,28.9024
176,28.6171
177,28.3317
178,28.0464
179,27.7610
180,27.4757
181,27.1903
182,26.9050
183,26.6196
184,26.3342
185,26.0489
186,25.7635
187,25.4782
188,25.1928
189,24.9075
190,24.6221
191,24.3368
192,24.3368
193,24.3368
194,24.3368
195,24.3368
196,24.3368
197,24.3368
198,24.3368
199,24.3368
200,24.3368
201,24.3368
202,24.3368
203,24.3368
204,24.3368
205,24.3368
206,24.3368
207,24.3368
208,24.1446
209,23.9524
210,23.7601
211,23.5679
212,23.3757
213,23.1835
214,22.9913
215,22.7991
216,22.6069
217,22.4147
218,22.2224
219,22.0302
220,21.8380
221,21.6458
222,21.4536
223,21.2614
224,21.0692
225,20.8769
226,20.6847
227,20.4925
228,20.3003
229,20.1081
230,19.9159
231,19.7237
232,19.5314
233,19.3392
234,19.1470
235,18.9548
236,18.7626
237,18.5704
238,18.3782
239,18.1859
240,17.9937
241,17.8015
242,17.6093
243,17.4171
244,17.2249
245,17.0327
246,16.8405
247,16.6482
248,16.4560
249,16.2638
250,16.0716
251,15.8794
252,15.6872
253,15.4950
254,15.3027
255,15.1105
256,14.9183
257,14.7261
258,14.5339
259,14.3417
260,14.1495
261,13.9572
262,13.7650
263,13.5728
264,13.3806
265,13.1884
266,12.9962
267,12.8040
268,12.6117
269,12.4195
270,12.2273
271,12.0351
272,11.8429
273,11.6507
274,11.4585
275,11.2663
276,11.0740
277,10.8818
278,10.6896
279,10.4974
280,10.3052
281,10.1130
282,9.9208
283,9.7285
284,9.5363
285,9.3441
286,9.1519
287,8.9597
288,8.7675
289,8.5753
290,8.3830
291,8.1908
292,7.9986
293,7.8064
294,7.6142
295,7.4220
296,7.2298
297,7.0375
298,6.8453
299,6.6531
300,6.4609
301,6.2687
302,6.0765
303,5.8843
304,5.6921
305,5.4998
306,5.3076
307,5.1154
308,4.9232
309,4.7310
310,4.5388
311,4.3466
312,4.1543
313,3.9621
314,3.7699
315,3.5777
316,3.3855
317,3.1933
318,3.0011
319,2.8088
320,2.6166
321,2.4244
322,2.2322
323,2.0400
324,1.8478
325,1.6556
326,1.4633
327,1.2711
328,1.0789
329,0.8867
