Variable Name           Solution Value
r165                         11.363238
r166                         13.896582
r167                        -18.887044
r168                         17.495364
r169                         14.690042
r170                         11.972430
r171                         14.714330
r172                         17.831612
r173                         17.324465
r174                         14.778931
r175                         42.944867
r176                         26.176714
r177                        -16.094742
r178                        -26.177908
r179                         -2.648560
r180                         19.179824
r181                         21.175355
r182                          8.014592
r183                         10.835018
r184                         13.061593
r185                         -2.477391
r186                        -45.638840
r187                       -109.546985
r188                         36.777596
r189                       -117.726460
r190                          9.594365
r191                        -11.928690
r192                        -17.500100
r193                         67.588318
r194                         15.204275
r195                         61.615002
r196                         -6.904160
r197                         18.804020
r198                        -34.783989
r199                          9.745554
r200                         17.853670
r201                         14.887762
r202                        -68.527849
r203                         61.375208
r204                        -36.151339
r205                         -1.494606
r206                         73.431486
r207                         24.126936
r208                         73.946638
r209                         41.930451
r210                          0.532347
r211                         69.080606
r212                         -4.435591
r213                         11.865281
r214                         -7.879732
r215                          6.281262
r216                          5.308712
r217                         29.715153
r218                         17.328819
r219                        -15.899670
r220                       -376.913119
r221                          9.097649
r222                        -38.836553
r223                        -33.185869
r224                        -28.308086
r225                        -63.834614
r226                        -26.133209
r227                        -26.551411
r228                         18.235018
r229                        -20.603380
r230                          5.556404
r231                         -3.914567
r232                        -12.188957
r233                          8.592874
r234                         -4.538576
r235                         14.830383
r236                          7.140696
r237                         12.278974
r238                         12.969379
r239                         19.056362
r240                         12.968352
x1                         3000.000000
x2                         2815.945009
x3                         2631.890018
x4                         2447.835027
x5                         2263.780036
x6                         2079.725045
x7                         1895.670054
x8                         1822.023994
x9                         1748.377934
x10                        1674.731873
x11                        1601.085813
x12                        1527.439753
x13                        1453.793693
x14                        1380.147632
x15                        1306.501572
x16                        1247.641496
x17                        1207.102630
x18                        1166.563763
x19                        1126.024897
x20                        1085.486030
x21                        1044.947164
x22                        1018.170242
x23                         991.393319
x24                         964.616397
x25                         937.839474
x26                         911.062552
x27                         884.285630
x28                         857.508707
x29                         830.731785
x30                         803.954862
x31                         777.177940
x32                         750.401018
x33                         723.624095
x34                         696.847173
x35                         670.070250
x36                         643.293328
x37                         616.516406
x38                         598.853854
x39                         581.191302
x40                         563.528751
x41                         545.866199
x42                         528.203648
x43                         510.541096
x44                         492.878544
x45                         475.215993
x46                         457.553441
x47                         439.890890
x48                         431.621714
x49                         423.352538
x50                         415.083362
x51                         406.814187
x52                         398.545011
x53                         390.275835
x54                         382.006660
x55                         373.737484
x56                         365.468308
x57                         357.199132
x58                         348.929957
x59                         340.660781
x60                         335.265900
x61                         329.871019
x62                         324.476138
x63                         319.081256
x64                         313.686375
x65                         308.291494
x66                         302.896613
x67                         297.501732
x68                         292.106850
x69                         286.711969
x70                         281.317088
x71                         275.922207
x72                         270.527326
x73                         265.132444
x74                         259.737563
x75                         254.342682
x76                         248.947801
x77                         243.552920
x78                         238.158038
x79                         232.763157
x80                         227.368276
x81                         221.973395
x82                         216.578514
x83                         212.179676
x84                         207.780837
x85                         203.381999
x86                         198.983161
x87                         194.998555
x88                         191.013948
x89                         187.029341
x90                         183.044735
x91                         179.060128
x92                         175.075521
x93                         171.090915
x94                         167.106308
x95                         163.121701
x96                         159.137095
x97                         155.152488
x98                         151.167881
x99                         147.183275
x100                        143.198668
x101                        139.214061
x102                        135.229455
x103                        131.244848
x104                        127.260241
x105                        123.275635
x106                        119.291028
x107                        115.762928
x108                        112.234829
x109                        108.706730
x110                        105.178630
x111                        102.394727
x112                         99.610823
x113                         96.826920
x114                         94.043017
x115                         91.259113
x116                         88.475210
x117                         85.691306
x118                         82.907403
x119                         80.123500
x120                         78.619045
x121                         77.114591
x122                         75.610137
x123                         74.105683
x124                         72.601229
x125                         71.096775
