Pick,Value
1,3000.0000
2,2815.9425
3,2631.8850
4,2447.8276
5,2263.7701
6,2079.7126
7,1895.6551
8,1822.0098
9,1748.3644
10,1674.7190
11,1601.0736
12,1527.4282
13,1453.7828
14,1380.1374
15,1306.4921
16,1247.6350
17,1207.0969
18,1166.5589
19,1126.0208
20,1085.4827
21,1044.9447
22,1018.1681
23,991.3914
24,964.6148
25,937.8382
26,911.0616
27,884.2850
28,857.5083
29,830.7317
30,803.9551
31,777.1785
32,750.4019
33,723.6253
34,696.8486
35,670.0720
36,643.2954
37,616.5188
38,598.8548
39,581.1908
40,563.5268
41,545.8629
42,528.1989
43,510.5349
44,492.8709
45,475.2070
46,457.5430
47,439.8790
48,431.6103
49,423.3417
50,415.0730
51,406.8043
52,398.5357
53,390.2670
54,381.9984
55,373.7297
56,365.4610
57,357.1924
58,348.9237
59,340.6550
60,335.2607
61,329.8663
62,324.4719
63,319.0775
64,313.6831
65,308.2888
66,302.8944
67,297.5000
68,292.1056
69,286.7112
70,281.3169
71,275.9225
72,270.5281
73,265.1337
74,259.7393
75,254.3450
76,248.9506
77,243.5562
78,238.1618
79,232.7674
80,227.3731
81,221.9787
82,216.5843
83,212.1851
84,207.7858
85,203.3866
86,198.9874
87,195.0027
88,191.0181
89,187.0335
90,183.0489
91,179.0643
92,175.0797
93,171.0950
94,167.1104
95,163.1258
96,159.1412
97,155.1566
98,151.1720
99,147.1873
100,143.2027
101,139.2181
102,135.2335
103,131.2489
104,127.2643
105,123.2796
106,119.2950
107,115.7649
108,112.2348
109,108.7046
110,105.1745
111,102.3908
112,99.6070
113,96.8233
114,94.0395
115,91.2558
116,88.4721
117,85.6883
118,82.9046
119,80.1209
120,78.6170
121,77.1131
122,75.6092
123,74.1053
124,72.6015
125,71.0976
126,69.5937
127,68.0898
128,66.5859
129,65.0820
130,63.5782
131,62.0743
132,60.5704
133,59.0665
134,57.5626
135,56.0587
136,54.5549
137,53.0510
138,51.5471
139,50.8373
140,50.1274
141,49.4176
142,48.7078
143,47.9979
144,47.2881
145,46.5783
146,45.8685
147,45.1586
148,44.4488
149,43.7390
150,43.0291
151,42.3193
152,41.6095
153,40.8997
154,40.1898
155,39.4800
156,38.7702
157,38.0604
158,37.3505
159,36.6407
160,35.9309
161,35.2210
162,34.5112
163,33.8014
164,33.1376
165,32.4739
166,31.8101
167,31.1463
168,30.5371
169,30.3371
170,30.1371
171,29.9371
172,29.7371
173,29.5371
174,29.3372
175,29.1372
176,28.9372
177,28.7372
178,28.5372
179,28.3372
180,28.1372
181,27.9372
182,27.7372
183,27.5373
184,27.3373
185,27.1373
186,26.9373
187,26.7373
188,26.5373
189,26.3373
190,26.1373
191,25.9373
192,25.7373
193,25.5374
194,25.3374
195,25.1374
196,24.9374
197,24.7374
198,24.5374
199,24.3374
200,24.1374
201,23.9374
202,23.7375
203,23.5375
204,23.3375
205,23.1375
206,22.9375
207,22.7375
208,22.5375
209,22.3375
210,22.1375
211,21.9376
212,21.7376
213,21.5376
214,21.3376
215,21.1376
216,20.9376
217,20.7376
218,20.5376
219,20.3376
220,20.1377
221,19.9377
222,19.7377
223,19.5377
224,19.4327
225,19.3277
226,19.2227
227,19.1177
228,19.0128
229,18.9078
230,18.8028
231,18.6978
232,18.5928
233,18.4878
234,18.3828
235,18.2779
236,18.1729
237,18.0679
238,17.9629
239,17.8579
240,17.7529
241,17.6479
242,17.5430
243,17.4380
244,17.3330
245,17.2280
246,17.1230
247,17.0180
248,16.9130
249,16.8081
250,16.7031
251,16.5981
252,16.4931
253,16.3881
254,16.3881
255,16.3881
256,16.3881
257,16.3881
258,16.3881
259,16.3881
260,16.3881
261,16.3881
262,16.3881
263,16.3881
264,16.3881
265,16.3881
266,16.3881
267,16.3881
268,16.3881
269,16.3881
270,16.3881
271,16.3881
272,16.3881
273,16.3881
274,16.3881
275,16.3881
276,16.3881
277,16.3881
278,16.3881
279,16.3881
280,16.3881
281,16.3881
282,16.3881
283,16.3881
284,16.3881
285,16.3881
286,16.3881
287,16.3881
288,16.3881
289,16.3881
290,16.3881
291,16.3881
292,16.3881
293,16.3881
294,16.3881
295,16.3881
296,16.3881
297,16.3881
298,16.3881
299,16.3881
300,16.3881
301,16.3881
302,16.3881
303,16.3881
304,16.3881
305,16.3881
306,16.3881
307,16.3881
308,16.3881
309,16.3881
310,16.3881
311,16.3881
312,16.3881
313,16.3881
314,16.3881
315,16.3881
316,16.3881
317,16.3881
318,16.3881
319,16.3881
320,16.3881
321,16.3881
322,16.3881
323,16.3881
324,16.3881
325,16.3881
326,16.3881
327,16.3881
328,16.3881
329,16.3881
