Pick,Value
1,3000.0000
2,2815.9188
3,2631.8376
4,2447.7564
5,2263.6752
6,2079.5939
7,1895.5127
8,1821.8556
9,1748.1985
10,1674.5414
11,1600.8842
12,1527.2271
13,1453.5700
14,1379.9129
15,1306.2557
16,1247.3859
17,1206.8819
18,1166.3780
19,1125.8741
20,1085.3701
21,1044.8662
22,1018.0648
23,991.2634
24,964.4620
25,937.6606
26,910.8592
27,884.0578
28,857.2564
29,830.4550
30,803.6536
31,776.8521
32,750.0507
33,723.2493
34,696.4479
35,669.6465
36,642.8451
37,616.0437
38,598.4231
39,580.8025
40,563.1818
41,545.5612
42,527.9406
43,510.3200
44,492.6993
45,475.0787
46,457.4581
47,439.8374
48,431.5833
49,423.3291
50,415.0750
51,406.8208
52,398.5667
53,390.3125
54,382.0584
55,373.8042
56,365.5501
57,357.2959
58,349.0418
59,340.7876
60,335.3966
61,330.0055
62,324.6145
63,319.2234
64,313.8324
65,308.4413
66,303.0502
67,297.6592
68,292.2681
69,286.8771
70,281.4860
71,276.0950
72,270.7039
73,265.3128
74,259.9218
75,254.5307
76,249.1397
77,243.7486
78,238.3576
79,232.9665
80,227.5755
81,222.1844
82,216.7933
83,212.4021
84,208.0108
85,203.6196
86,199.2283
87,195.2251
88,191.2218
89,187.2186
90,183.2154
91,179.2121
92,175.2089
93,171.2056
94,167.2024
95,163.1991
96,159.1959
97,155.1927
98,151.1894
99,147.1862
100,143.1829
101,139.1797
102,135.1764
103,131.1732
104,127.1700
105,123.1667
106,119.1635
107,115.6557
108,112.1480
109,108.6402
110,105.1325
111,102.3353
112,99.5380
113,96.7408
114,93.9435
115,91.1463
116,88.3490
117,85.5518
118,82.7545
119,79.9573
120,78.2601
121,76.7814
122,75.3027
123,73.8240
124,72.3453
125,70.8666
126,69.3879
127,67.9092
128,66.4305
129,64.9518
130,63.4731
131,61.9944
132,60.5157
133,59.0370
134,57.5583
135,56.0796
136,54.6009
137,53.1222
138,51.6435
139,50.9406
140,50.2377
141,49.5348
142,48.8320
143,48.1291
144,47.4262
145,46.7233
146,46.0204
147,45.3175
148,44.6146
149,43.9117
150,43.2089
151,42.5060
152,41.8031
153,41.1002
154,40.3973
155,39.6944
156,38.9915
157,38.2886
158,37.5857
159,36.8829
160,36.1800
161,35.4771
162,34.7742
163,34.0713
164,33.3684
165,32.6655
166,31.9626
167,31.2597
168,30.9573
169,30.6549
170,30.3524
171,30.0500
172,29.7476
173,29.4451
174,29.1427
175,28.8403
176,28.5378
177,28.2354
178,27.9329
179,27.6305
180,27.3281
181,27.0256
182,26.7232
183,26.4208
184,26.1183
185,25.8159
186,25.5135
187,25.2110
188,24.9086
189,24.6062
190,24.3037
191,24.0013
192,24.0013
193,24.0013
194,24.0013
195,24.0013
196,24.0013
197,24.0013
198,24.0013
199,24.0013
200,24.0013
201,24.0013
202,24.0013
203,24.0013
204,24.0013
205,24.0013
206,24.0013
207,24.0013
208,24.0013
209,24.0013
210,23.8227
211,23.6441
212,23.4655
213,23.2870
214,23.1084
215,22.9298
216,22.7512
217,22.5726
218,22.3940
219,22.2155
220,22.0369
221,21.8583
222,21.6797
223,21.5011
224,21.3226
225,21.1440
226,20.9654
227,20.7868
228,20.6082
229,20.4296
230,20.2511
231,20.0725
232,19.8939
233,19.7153
234,19.5367
235,19.3582
236,19.1796
237,19.0010
238,18.8224
239,18.6438
240,18.4652
241,18.2867
242,18.1081
243,17.9295
244,17.7509
245,17.5723
246,17.3937
247,17.2152
248,17.0366
249,16.8580
250,16.6794
251,16.5008
252,16.3223
253,16.1437
254,15.9651
255,15.7865
256,15.6079
257,15.4293
258,15.2508
259,15.0722
260,14.8936
261,14.7150
262,14.5364
263,14.3579
264,14.1793
265,14.0007
266,13.8221
267,13.6435
268,13.4649
269,13.2864
270,13.1078
271,12.9292
272,12.7506
273,12.5720
274,12.3935
275,12.2149
276,12.0363
277,11.8577
278,11.6791
279,11.5005
280,11.3220
281,11.1434
282,10.9648
283,10.7862
284,10.6076
285,10.4291
286,10.2505
287,10.0719
288,9.8933
289,9.7147
290,9.5361
291,9.3576
292,9.1790
293,9.0004
294,8.8218
295,8.6432
296,8.4647
297,8.2861
298,8.1075
299,7.9289
300,7.7503
301,7.5717
302,7.3932
303,7.2146
304,7.0360
305,6.8574
306,6.6788
307,6.5003
308,6.3217
309,6.1431
310,5.9645
311,5.7859
312,5.6073
313,5.4288
314,5.2502
315,5.0716
316,4.8930
317,4.7144
318,4.5359
319,4.3573
320,4.1787
321,4.0001
322,3.8215
323,3.6429
324,3.4644
325,3.2858
326,3.1072
327,2.9286
328,2.7500
329,2.5715
